מזהה מסמך,שם מסמך,שולח,זמן יצירה,נמען1,דוא"ל/טלפון1,זמן שליחה1,זמן צפייה1,זמן חתימה1,זמן דחייה1,
51056853-2971-4904-b3f3-08de1a05df7e,sample,Updated User Name,11/2/2025 11:49:25 AM,nirk,Tablet,,,,,
3b0e1bd2-fe8f-4905-ac83-08de19f6140f,sample,Updated User Name,11/2/2025 9:56:22 AM,nirk,Tablet,,,,,
fed10daa-3441-4874-31c3-08de19ed5805,sample,Updated User Name,11/2/2025 9:08:26 AM,nirk,Tablet,,,,,
a34b890a-c437-4002-31c2-08de19ed5805,Screenshot 2025-07-10 113235,Updated User Name,11/2/2025 9:07:18 AM,nirk,Tablet,,,,,
9bf43daf-898f-42a6-31c1-08de19ed5805,Screenshot 2025-06-11 110142,Updated User Name,11/2/2025 9:06:35 AM,nirk,Tablet,,,,,
db251529-acd6-441b-31c0-08de19ed5805,Screenshot 2025-06-11 110142,Updated User Name,11/2/2025 9:06:21 AM,nirk,Tablet,,,,,
d7582b5a-db95-4236-31bf-08de19ed5805,Screenshot 2025-07-23 065345,Updated User Name,11/2/2025 9:04:27 AM,nirk,Tablet,,,,,
5bc873c7-0717-4e37-31be-08de19ed5805,Screenshot 2025-07-10 113235,Updated User Name,11/2/2025 9:03:35 AM,nirk,Tablet,,,,,
9a3334c7-4237-4c07-31bd-08de19ed5805,sample,Updated User Name,11/2/2025 9:00:05 AM,nirk,Tablet,,,,,
ef0b1867-e0fc-4962-6a4e-08de19d849ec,sample,Updated User Name,11/2/2025 7:54:24 AM,nirk,Tablet,,,,,
177ec1e9-8a66-4f82-6a48-08de19d849ec,sample,Updated User Name,11/2/2025 7:40:43 AM,nirk,Tablet,,,,,
9b8c4e55-d65b-4ce9-6a47-08de19d849ec,sample,Updated User Name,11/2/2025 7:32:20 AM,nirk,Tablet,,,,,
3741ac33-d1e9-47b9-6a46-08de19d849ec,sample,Updated User Name,11/2/2025 7:31:02 AM,nirk,Tablet,,,,,
78a9247f-b8a7-4109-6a45-08de19d849ec,sample,Updated User Name,11/2/2025 7:27:48 AM,nirk,Tablet,,,,,
4816fab7-7534-4e5c-6a44-08de19d849ec,sample,Updated User Name,11/2/2025 7:03:44 AM,nirk,Tablet,,,,,
d13205d8-aa0f-4ca9-6a43-08de19d849ec,sample,Updated User Name,11/2/2025 7:00:58 AM,nirk,Tablet,,,,,
28833f17-6f09-4848-6a42-08de19d849ec,sample,Updated User Name,11/2/2025 6:58:53 AM,nirk,Tablet,,,,,
cfaea147-2670-4b88-6a41-08de19d849ec,sample,Updated User Name,11/2/2025 6:56:58 AM,nirk,Tablet,,,,,
c5a1479d-98b7-4d83-6a40-08de19d849ec,sample,Updated User Name,11/2/2025 6:51:30 AM,nirk,Tablet,,,,,
afe64d9c-4ff8-4f2a-6a3f-08de19d849ec,sample,Updated User Name,11/2/2025 6:29:16 AM,nirk,Tablet,,,,,
3a136e85-92e0-4e54-6a3e-08de19d849ec,sample,Updated User Name,11/2/2025 6:28:55 AM,nirk,Tablet,,,,,
323ea146-7c39-4fe6-6a3d-08de19d849ec,sample,Updated User Name,11/2/2025 6:28:33 AM,nirk,Tablet,,,,,
23e77250-397d-41fc-6a3c-08de19d849ec,sample,Updated User Name,11/2/2025 6:28:11 AM,nirk,Tablet,,,,,
9f053358-f912-49fd-6a3b-08de19d849ec,sample,Updated User Name,11/2/2025 6:27:50 AM,nirk,Tablet,,,,,
25f1a1d4-9761-410b-6a3a-08de19d849ec,sample,Updated User Name,11/2/2025 6:27:28 AM,nirk,Tablet,,,,,
b23f43e1-996b-40fb-6a39-08de19d849ec,sample,Updated User Name,11/2/2025 6:27:08 AM,nirk,Tablet,,,,,
3e4a58dd-ab98-46f4-6a38-08de19d849ec,sample,Updated User Name,11/2/2025 6:26:48 AM,nirk,Tablet,,,,,
ad47eac7-7fbd-46db-6a37-08de19d849ec,sample,Updated User Name,11/2/2025 6:24:41 AM,nirk,Tablet,,,,,
6b7064e5-e00d-4165-6a36-08de19d849ec,sample,Updated User Name,11/2/2025 6:24:19 AM,nirk,Tablet,,,,,
265d04b3-dec5-4277-6a35-08de19d849ec,sample,Updated User Name,11/2/2025 6:23:55 AM,nirk,Tablet,,,,,
ce05c3d7-b3b2-4de5-6a34-08de19d849ec,sample,Updated User Name,11/2/2025 6:23:07 AM,nirk,Tablet,,,,,
946ded0b-7376-4622-f9e0-08de19cf0557,sample,Updated User Name,11/2/2025 5:37:35 AM,nirk,Tablet,,,,,
f78aab14-4f84-49a8-f9df-08de19cf0557,sample,Updated User Name,11/2/2025 5:37:13 AM,nirk,Tablet,,,,,
31cc67e9-5d73-4f6a-f9de-08de19cf0557,sample,Updated User Name,11/2/2025 5:36:51 AM,nirk,Tablet,,,,,
f4c8488e-31d1-468a-f9dd-08de19cf0557,sample,Updated User Name,11/2/2025 5:36:29 AM,nirk,Tablet,,,,,
3fd3de07-967f-4655-f9dc-08de19cf0557,sample,Updated User Name,11/2/2025 5:36:07 AM,nirk,Tablet,,,,,
1ffdb517-a44e-4415-f9db-08de19cf0557,sample,Updated User Name,11/2/2025 5:35:48 AM,nirk,Tablet,,,,,
a1494c6f-9d78-4144-f9da-08de19cf0557,sample,Updated User Name,11/2/2025 5:35:28 AM,nirk,Tablet,,,,,
302eda0d-85fb-433b-f9d9-08de19cf0557,sample,Updated User Name,11/2/2025 5:34:52 AM,nirk,Tablet,,,,,
2bccedb3-1c6a-4da0-f9d8-08de19cf0557,sample,Updated User Name,11/2/2025 5:34:31 AM,nirk,Tablet,,,,,
72a57fab-3465-4f4c-f9d7-08de19cf0557,sample,Updated User Name,11/2/2025 5:34:09 AM,nirk,Tablet,,,,,
3cef099c-206e-4eaf-f9d6-08de19cf0557,sample,Updated User Name,11/2/2025 5:33:47 AM,nirk,Tablet,,,,,
39c91d13-62dd-4ae0-f9d5-08de19cf0557,sample,Updated User Name,11/2/2025 5:33:26 AM,nirk,Tablet,,,,,
d97edec0-f92f-4636-f9d4-08de19cf0557,sample,Updated User Name,11/2/2025 5:32:19 AM,nirk,Tablet,,,,,
63724ac7-2d49-4a4f-f9d3-08de19cf0557,sample,Updated User Name,11/2/2025 5:30:49 AM,nirk,Tablet,,,,,
484e012d-daa0-47bb-f9d2-08de19cf0557,sample,Updated User Name,11/2/2025 5:25:50 AM,nirk,Tablet,,,,,
15a682a4-8f00-4a74-f9d1-08de19cf0557,sample,Updated User Name,11/2/2025 5:25:04 AM,nirk,Tablet,,,,,
44d58ff5-ad0e-4689-f9d0-08de19cf0557,sample,Updated User Name,11/2/2025 5:24:18 AM,nirk,Tablet,,,,,
0410951c-c0b4-4a9d-f9cf-08de19cf0557,sample,Updated User Name,11/2/2025 5:23:57 AM,nirk,Tablet,,,,,
7a5c2c4e-b660-4dc8-f9ce-08de19cf0557,sample,Updated User Name,11/2/2025 5:23:35 AM,nirk,Tablet,,,,,
2e8f97e1-3048-4ce1-f9cd-08de19cf0557,sample,Updated User Name,11/2/2025 5:17:06 AM,nirk,Tablet,,,,,
26132db4-1552-426b-f9cc-08de19cf0557,sample,Updated User Name,11/2/2025 5:16:47 AM,nirk,Tablet,,,,,
becdec53-fff6-473f-236c-08de19c6cb96,sample,Updated User Name,11/2/2025 4:45:20 AM,nirk,Tablet,,,,,
32510c33-3900-4d67-236b-08de19c6cb96,sample,Updated User Name,11/2/2025 4:41:06 AM,nirk,Tablet,,,,,
ce225bef-e664-4d4c-236a-08de19c6cb96,sample,Updated User Name,11/2/2025 4:37:59 AM,nirk,Tablet,,,,,
2b58c15f-fe49-42fd-2369-08de19c6cb96,sample,Updated User Name,11/2/2025 4:33:45 AM,nirk,Tablet,,,,,
d4823e45-150e-4785-2368-08de19c6cb96,sample,Updated User Name,11/2/2025 4:25:32 AM,nirk,Tablet,,,,,
75d2cc5e-01e6-4825-2367-08de19c6cb96,sample,Updated User Name,11/2/2025 4:21:23 AM,nirk,Tablet,,,,,
29dd071f-184e-4d0c-2366-08de19c6cb96,sample,Updated User Name,11/2/2025 4:20:30 AM,nirk,Tablet,,,,,
151fc182-3e8e-4984-2365-08de19c6cb96,sample,Updated User Name,11/2/2025 4:17:54 AM,nirk,Tablet,,,,,
f776da7a-a0d8-45a8-eff8-08de1926ed91,sample,Updated User Name,11/1/2025 9:20:12 AM,nirk,Tablet,,,,,
b0bda17b-f9fe-46eb-eff7-08de1926ed91,sample,Updated User Name,11/1/2025 9:19:42 AM,nirk,Tablet,,,,,
5234ff4e-102d-4297-eff6-08de1926ed91,sample,Updated User Name,11/1/2025 9:19:16 AM,nirk,Tablet,,,,,
dedb3659-a33a-4ed6-eff4-08de1926ed91,sample,Updated User Name,11/1/2025 9:18:27 AM,nirk,Tablet,,,,,
e6a9d821-222f-4fd4-eff3-08de1926ed91,sample,Updated User Name,11/1/2025 9:17:51 AM,nirk,Tablet,,,,,
1e888a65-3f30-4385-eff2-08de1926ed91,sample,Updated User Name,11/1/2025 9:17:18 AM,nirk,Tablet,,,,,
c3da8c12-7f8d-40a5-eff1-08de1926ed91,sample,Updated User Name,11/1/2025 9:16:53 AM,nirk,Tablet,,,,,
40cde7ed-0379-419d-eff0-08de1926ed91,sample,Updated User Name,11/1/2025 9:16:06 AM,nirk,Tablet,,,,,
003a5e58-a117-491c-efef-08de1926ed91,sample,Updated User Name,11/1/2025 9:15:43 AM,nirk,Tablet,,,,,
fbab6955-a64e-43fb-efee-08de1926ed91,sample,Updated User Name,11/1/2025 9:15:20 AM,nirk,Tablet,,,,,
0ea66f63-06d3-402d-efed-08de1926ed91,sample,Updated User Name,11/1/2025 9:14:56 AM,nirk,Tablet,,,,,
d21d17ec-08fe-4f61-efec-08de1926ed91,sample,Updated User Name,11/1/2025 9:14:33 AM,nirk,Tablet,,,,,
15fce2a8-cd5b-4aa9-efeb-08de1926ed91,sample,Updated User Name,11/1/2025 9:14:04 AM,nirk,Tablet,,,,,
7d59228f-bb06-492a-efea-08de1926ed91,sample,Updated User Name,11/1/2025 9:13:31 AM,nirk,Tablet,,,,,
ddb0ce78-83b6-46be-c96a-08de191259cf,sample,Updated User Name,11/1/2025 6:58:23 AM,nirk,Tablet,,,,,
abb31a2e-c6dd-4844-c969-08de191259cf,sample,Updated User Name,11/1/2025 6:57:49 AM,nirk,Tablet,,,,,
533b8d8e-61e0-45fe-c968-08de191259cf,sample,Updated User Name,11/1/2025 6:49:42 AM,nirk,Tablet,,,,,
a7746a16-661e-41db-c967-08de191259cf,sample,Updated User Name,11/1/2025 6:48:55 AM,nirk,Tablet,,,,,
9759b23b-d2ee-49b3-c966-08de191259cf,sample,Updated User Name,11/1/2025 6:48:32 AM,nirk,Tablet,,,,,
82637d76-099b-49cf-c965-08de191259cf,sample,Updated User Name,11/1/2025 6:48:03 AM,nirk,Tablet,,,,,
0d7114a8-05cc-46d0-c964-08de191259cf,sample,Updated User Name,11/1/2025 6:47:30 AM,nirk,Tablet,,,,,
455056ab-882c-48a0-c963-08de191259cf,sample,Updated User Name,11/1/2025 6:46:13 AM,nirk,Tablet,,,,,
aaa76570-75d5-49f8-7708-08de19082882,sample,Updated User Name,11/1/2025 6:21:23 AM,nirk,Tablet,,,,,
d89dddd0-1c62-4247-7707-08de19082882,sample,Updated User Name,11/1/2025 6:19:50 AM,nirk,Tablet,,,,,
f1c08dd7-5ab5-48ee-7706-08de19082882,sample,Updated User Name,11/1/2025 6:18:47 AM,nirk,Tablet,,,,,
8ac89449-3566-48b6-7705-08de19082882,sample,Updated User Name,11/1/2025 6:16:59 AM,nirk,Tablet,,,,,
ad5d939b-020a-4b47-7704-08de19082882,sample,Updated User Name,11/1/2025 6:15:19 AM,nirk,Tablet,,,,,
09c9290b-485d-4dc9-7703-08de19082882,sample,Updated User Name,11/1/2025 6:12:58 AM,nirk,Tablet,,,,,
9e1c2d09-f892-45a5-7702-08de19082882,sample,Updated User Name,11/1/2025 6:11:25 AM,nirk,Tablet,,,,,
d743a638-bdea-44c8-7701-08de19082882,sample,Updated User Name,11/1/2025 6:10:12 AM,nirk,Tablet,,,,,
44d1ec78-e77a-436d-7700-08de19082882,sample,Updated User Name,11/1/2025 6:08:43 AM,nirk,Tablet,,,,,
604bbd1c-c614-4f85-76ff-08de19082882,sample,Updated User Name,11/1/2025 6:07:10 AM,nirk,Tablet,,,,,
128a30a3-bebe-4903-76fe-08de19082882,sample,Updated User Name,11/1/2025 6:03:27 AM,nirk,Tablet,,,,,
ae2d2770-aa1c-4c49-76fd-08de19082882,sample,Updated User Name,11/1/2025 5:33:16 AM,nirk,Tablet,,,,,
